data,data_prazo,mes,ano,processo,cliente,area,responsavel,risco,status_prazo,valor_causa,empresa
2026-08-28,2026-09-22,Setembro,2026,2000025-55.2026.8.26.6629,Helix Saúde,Tributário,Rafael Mendes,Baixo,Concluído,76258.24,Dobra Legal
2026-08-28,2026-06-27,Junho,2026,2000026-55.2026.8.26.7022,Delta Log,Trabalhista,Carlos Nogueira,Médio,Concluído,84530.44,Dobra Legal
2026-08-28,2026-07-07,Julho,2026,2000027-55.2026.8.26.1138,Terra Nova,Contratos,Rafael Mendes,Baixo,Concluído,84098.56,Dobra Legal
2026-08-28,2026-07-09,Julho,2026,2000028-55.2026.8.26.8248,Lumen Tech,Cível,Mariana Costa,Baixo,Vencido,25895.74,Dobra Legal
2026-08-28,2026-09-07,Setembro,2026,2000029-55.2026.8.26.8035,Aurora Moda,Trabalhista,Rafael Mendes,Baixo,Concluído,22481.67,Dobra Legal
2026-08-28,2026-08-12,Agosto,2026,2000030-55.2026.8.26.1439,Delta Log,Trabalhista,Fernanda Lima,Médio,Próximo,87931.00,Dobra Legal
2026-08-28,2026-08-15,Agosto,2026,2000031-55.2026.8.26.4921,Rio Branco,Tributário,Mariana Costa,Baixo,Pendente,621303.60,Dobra Legal
2026-08-28,2026-06-04,Junho,2026,2000032-55.2026.8.26.6185,Orbit Educação,Tributário,Fernanda Lima,Baixo,Vencido,804882.61,Dobra Legal
2026-08-28,2026-09-29,Setembro,2026,2000033-55.2026.8.26.2195,Atlas Ltda,Família,Mariana Costa,Baixo,Vencido,65274.46,Dobra Legal
2026-08-28,2026-06-16,Junho,2026,2000034-55.2026.8.26.7520,Casa Norte,Empresarial,Fernanda Lima,Médio,Vencido,378253.49,Dobra Legal
2026-08-28,2026-06-22,Junho,2026,2000035-55.2026.8.26.9808,Terra Nova,Trabalhista,Juliana Alves,Baixo,Pendente,25113.05,Dobra Legal
2026-08-28,2026-07-23,Julho,2026,2000036-55.2026.8.26.3545,Sul Minas,Empresarial,Carlos Nogueira,Médio,Vencido,23101.69,Dobra Legal
2026-08-28,2026-09-20,Setembro,2026,2000037-55.2026.8.26.4909,Nimbus SA,Trabalhista,Mariana Costa,Alto,Pendente,24533.72,Dobra Legal
2026-08-28,2026-06-15,Junho,2026,2000038-55.2026.8.26.3877,Helix Saúde,Cível,Rafael Mendes,Médio,Concluído,79885.21,Dobra Legal
2026-08-28,2026-08-28,Agosto,2026,2000039-55.2026.8.26.5247,Pulse Varejo,Empresarial,Rafael Mendes,Médio,Pendente,174907.89,Dobra Legal
2026-08-28,2026-07-01,Julho,2026,2000040-55.2026.8.26.1480,Aurora Moda,Tributário,Juliana Alves,Médio,Próximo,173588.69,Dobra Legal
2026-08-28,2026-10-26,Outubro,2026,2000041-55.2026.8.26.9128,Céu Soft,Família,Juliana Alves,Baixo,Pendente,650064.42,Dobra Legal
2026-08-28,2026-07-11,Julho,2026,2000042-55.2026.8.26.2685,Boa Vista,Contratos,Mariana Costa,Baixo,Concluído,600770.55,Dobra Legal
2026-08-28,2026-06-04,Junho,2026,2000043-55.2026.8.26.8729,Pampa Alimentos,Tributário,Rafael Mendes,Baixo,Concluído,25528.65,Dobra Legal
2026-08-28,2026-09-16,Setembro,2026,2000044-55.2026.8.26.5067,Maré Energia,Contratos,Juliana Alves,Baixo,Concluído,25715.36,Dobra Legal
2026-08-28,2026-07-01,Julho,2026,2000045-55.2026.8.26.1862,Pulse Varejo,Trabalhista,Fernanda Lima,Alto,Pendente,289649.70,Dobra Legal
2026-08-28,2026-09-28,Setembro,2026,2000046-55.2026.8.26.6090,Aurora Moda,Cível,Fernanda Lima,Baixo,Próximo,140842.95,Dobra Legal
2026-08-28,2026-10-23,Outubro,2026,2000047-55.2026.8.26.4974,Céu Soft,Empresarial,Fernanda Lima,Alto,Próximo,87438.83,Dobra Legal
2026-08-28,2026-10-18,Outubro,2026,2000048-55.2026.8.26.5016,Orbit Educação,Cível,Carlos Nogueira,Baixo,Próximo,703927.11,Dobra Legal
2026-08-28,2026-06-03,Junho,2026,2000049-55.2026.8.26.1023,Serra Café,Contratos,Juliana Alves,Baixo,Vencido,894934.72,Dobra Legal
2026-08-28,2026-09-16,Setembro,2026,2000050-55.2026.8.26.1981,Orbit Educação,Contratos,Juliana Alves,Baixo,Pendente,92713.20,Dobra Legal
2026-08-28,2026-10-12,Outubro,2026,2000051-55.2026.8.26.7102,Céu Soft,Contratos,Mariana Costa,Médio,Concluído,640054.16,Dobra Legal
2026-08-28,2026-09-09,Setembro,2026,2000052-55.2026.8.26.2020,Maré Energia,Contratos,Rafael Mendes,Baixo,Concluído,182458.48,Dobra Legal
2026-08-28,2026-09-09,Setembro,2026,2000053-55.2026.8.26.6345,Aurora Moda,Tributário,Juliana Alves,Baixo,Pendente,68355.58,Dobra Legal
2026-08-28,2026-10-28,Outubro,2026,2000054-55.2026.8.26.2731,Pulse Varejo,Tributário,Carlos Nogueira,Baixo,Concluído,25359.25,Dobra Legal
2026-08-28,2026-07-24,Julho,2026,2000055-55.2026.8.26.8591,Costa Farma,Cível,Mariana Costa,Baixo,Concluído,180888.75,Dobra Legal
2026-08-28,2026-06-11,Junho,2026,2000056-55.2026.8.26.6370,Orbit Educação,Cível,Rafael Mendes,Alto,Concluído,351884.35,Dobra Legal
2026-08-28,2026-08-16,Agosto,2026,2000057-55.2026.8.26.3848,Atlas Ltda,Tributário,Carlos Nogueira,Médio,Concluído,674955.79,Dobra Legal
2026-08-28,2026-09-27,Setembro,2026,2000058-55.2026.8.26.3290,Helix Saúde,Cível,Mariana Costa,Médio,Concluído,68182.89,Dobra Legal
2026-08-28,2026-09-11,Setembro,2026,2000059-55.2026.8.26.2376,Boa Vista,Família,Juliana Alves,Alto,Concluído,20218.00,Dobra Legal
2026-08-28,2026-06-17,Junho,2026,2000060-55.2026.8.26.8265,Orbit Educação,Cível,Juliana Alves,Baixo,Concluído,287089.28,Dobra Legal
2026-08-28,2026-10-25,Outubro,2026,2000061-55.2026.8.26.7471,Rio Branco,Cível,Carlos Nogueira,Médio,Concluído,75326.18,Dobra Legal
2026-08-28,2026-07-18,Julho,2026,2000062-55.2026.8.26.8307,Orbit Educação,Cível,Fernanda Lima,Médio,Concluído,84712.91,Dobra Legal
2026-08-28,2026-10-06,Outubro,2026,2000063-55.2026.8.26.8848,Nimbus SA,Cível,Juliana Alves,Baixo,Concluído,307924.09,Dobra Legal
2026-08-28,2026-10-13,Outubro,2026,2000064-55.2026.8.26.9907,Atlas Ltda,Tributário,Juliana Alves,Baixo,Concluído,328164.78,Dobra Legal
2026-08-28,2026-10-23,Outubro,2026,2000065-55.2026.8.26.7363,Costa Farma,Trabalhista,Mariana Costa,Baixo,Pendente,64937.71,Dobra Legal
2026-08-28,2026-08-11,Agosto,2026,2000066-55.2026.8.26.8728,Casa Norte,Empresarial,Fernanda Lima,Alto,Concluído,67204.30,Dobra Legal
2026-08-28,2026-08-01,Agosto,2026,2000067-55.2026.8.26.1916,Verde Agro,Família,Carlos Nogueira,Baixo,Concluído,69635.21,Dobra Legal
2026-08-28,2026-10-30,Outubro,2026,2000068-55.2026.8.26.6878,Boa Vista,Cível,Juliana Alves,Alto,Concluído,642630.69,Dobra Legal
2026-08-28,2026-07-19,Julho,2026,2000069-55.2026.8.26.9064,Sul Minas,Empresarial,Rafael Mendes,Baixo,Próximo,20561.68,Dobra Legal
2026-08-28,2026-07-27,Julho,2026,2000070-55.2026.8.26.8831,Atlas Ltda,Empresarial,Fernanda Lima,Baixo,Concluído,74904.29,Dobra Legal
2026-08-28,2026-07-16,Julho,2026,2000071-55.2026.8.26.6301,Nimbus SA,Cível,Rafael Mendes,Médio,Vencido,88779.73,Dobra Legal
2026-08-28,2026-10-13,Outubro,2026,2000072-55.2026.8.26.2188,Pampa Alimentos,Contratos,Carlos Nogueira,Médio,Próximo,147312.97,Dobra Legal
2026-08-28,2026-07-05,Julho,2026,2000073-55.2026.8.26.8157,Rio Branco,Contratos,Juliana Alves,Baixo,Vencido,808068.12,Dobra Legal
2026-08-28,2026-08-31,Agosto,2026,2000074-55.2026.8.26.3872,Serra Café,Empresarial,Juliana Alves,Baixo,Concluído,29487.88,Dobra Legal
2026-08-28,2026-10-25,Outubro,2026,2000075-55.2026.8.26.1530,Pulse Varejo,Família,Juliana Alves,Alto,Concluído,666268.58,Dobra Legal
2026-08-28,2026-10-23,Outubro,2026,2000076-55.2026.8.26.9129,Orbit Educação,Empresarial,Mariana Costa,Baixo,Concluído,138744.79,Dobra Legal
2026-08-28,2026-06-23,Junho,2026,2000077-55.2026.8.26.6500,Céu Soft,Cível,Juliana Alves,Baixo,Próximo,23504.81,Dobra Legal
2026-08-28,2026-06-28,Junho,2026,2000078-55.2026.8.26.1788,Serra Café,Tributário,Carlos Nogueira,Alto,Pendente,349031.48,Dobra Legal
2026-08-28,2026-09-05,Setembro,2026,2000079-55.2026.8.26.7149,Helix Saúde,Tributário,Fernanda Lima,Médio,Concluído,69205.01,Dobra Legal
2026-08-28,2026-06-19,Junho,2026,2000080-55.2026.8.26.1547,Delta Log,Cível,Juliana Alves,Baixo,Próximo,20742.00,Dobra Legal
2026-08-28,2026-07-14,Julho,2026,2000081-55.2026.8.26.3636,Forge Engenharia,Família,Mariana Costa,Baixo,Próximo,867967.85,Dobra Legal
2026-08-28,2026-06-08,Junho,2026,2000082-55.2026.8.26.3703,Terra Nova,Tributário,Rafael Mendes,Baixo,Concluído,141155.23,Dobra Legal
2026-08-28,2026-07-19,Julho,2026,2000083-55.2026.8.26.9849,Costa Farma,Contratos,Juliana Alves,Baixo,Concluído,20496.35,Dobra Legal
2026-08-28,2026-10-25,Outubro,2026,2000084-55.2026.8.26.9043,Orbit Educação,Cível,Juliana Alves,Baixo,Pendente,22945.49,Dobra Legal
2026-08-28,2026-10-01,Outubro,2026,2000085-55.2026.8.26.1421,Lumen Tech,Trabalhista,Juliana Alves,Alto,Concluído,398127.67,Dobra Legal
2026-08-28,2026-08-18,Agosto,2026,2000086-55.2026.8.26.8715,Rio Branco,Contratos,Juliana Alves,Baixo,Próximo,716258.14,Dobra Legal
2026-08-28,2026-09-03,Setembro,2026,2000087-55.2026.8.26.7052,Pulse Varejo,Tributário,Mariana Costa,Baixo,Próximo,316876.11,Dobra Legal
2026-08-28,2026-08-08,Agosto,2026,2000088-55.2026.8.26.3476,Helix Saúde,Cível,Juliana Alves,Médio,Pendente,415898.78,Dobra Legal
2026-08-28,2026-10-29,Outubro,2026,2000089-55.2026.8.26.1999,Serra Café,Família,Carlos Nogueira,Alto,Concluído,360180.00,Dobra Legal
2026-08-28,2026-07-31,Julho,2026,2000090-55.2026.8.26.2293,Serra Café,Contratos,Mariana Costa,Baixo,Concluído,840135.10,Dobra Legal
2026-08-28,2026-07-08,Julho,2026,2000091-55.2026.8.26.8357,Pulse Varejo,Trabalhista,Rafael Mendes,Médio,Concluído,65365.63,Dobra Legal
2026-08-28,2026-06-21,Junho,2026,2000092-55.2026.8.26.8133,Lumen Tech,Contratos,Rafael Mendes,Médio,Vencido,148463.97,Dobra Legal
2026-08-28,2026-06-18,Junho,2026,2000093-55.2026.8.26.7510,Sul Minas,Empresarial,Juliana Alves,Baixo,Concluído,27865.51,Dobra Legal
2026-08-28,2026-10-29,Outubro,2026,2000094-55.2026.8.26.7874,Helix Saúde,Tributário,Rafael Mendes,Baixo,Pendente,774803.13,Dobra Legal
2026-08-28,2026-06-26,Junho,2026,2000095-55.2026.8.26.2654,Delta Log,Família,Juliana Alves,Alto,Vencido,152514.78,Dobra Legal
2026-08-28,2026-10-03,Outubro,2026,2000096-55.2026.8.26.8750,Nimbus SA,Trabalhista,Juliana Alves,Baixo,Pendente,782596.58,Dobra Legal
2026-08-28,2026-09-11,Setembro,2026,2000097-55.2026.8.26.6431,Verde Agro,Cível,Carlos Nogueira,Alto,Concluído,129294.90,Dobra Legal
2026-08-28,2026-08-17,Agosto,2026,2000098-55.2026.8.26.9054,Helix Saúde,Trabalhista,Rafael Mendes,Baixo,Concluído,388364.33,Dobra Legal
2026-08-28,2026-08-22,Agosto,2026,2000099-55.2026.8.26.7828,Terra Nova,Contratos,Mariana Costa,Baixo,Concluído,93229.85,Dobra Legal
2026-08-28,2026-09-13,Setembro,2026,2000100-55.2026.8.26.9462,Pampa Alimentos,Cível,Fernanda Lima,Médio,Próximo,23111.23,Dobra Legal
2026-08-28,2026-10-08,Outubro,2026,2000101-55.2026.8.26.9589,Boa Vista,Cível,Rafael Mendes,Baixo,Concluído,90783.25,Dobra Legal
2026-08-28,2026-08-03,Agosto,2026,2000102-55.2026.8.26.1828,Pampa Alimentos,Contratos,Rafael Mendes,Baixo,Concluído,350717.69,Dobra Legal
2026-08-28,2026-07-02,Julho,2026,2000103-55.2026.8.26.4963,Pampa Alimentos,Tributário,Fernanda Lima,Baixo,Pendente,362163.23,Dobra Legal
2026-08-28,2026-08-29,Agosto,2026,2000104-55.2026.8.26.5237,Forge Engenharia,Empresarial,Mariana Costa,Baixo,Concluído,91322.28,Dobra Legal
2026-08-28,2026-07-25,Julho,2026,2000105-55.2026.8.26.4688,Lumen Tech,Empresarial,Carlos Nogueira,Baixo,Próximo,24740.97,Dobra Legal
2026-08-28,2026-07-04,Julho,2026,2000106-55.2026.8.26.1138,Verde Agro,Empresarial,Fernanda Lima,Médio,Pendente,173615.39,Dobra Legal
2026-08-28,2026-08-10,Agosto,2026,2000107-55.2026.8.26.7168,Pampa Alimentos,Tributário,Juliana Alves,Baixo,Concluído,171340.55,Dobra Legal
2026-08-28,2026-09-10,Setembro,2026,2000108-55.2026.8.26.1120,Casa Norte,Contratos,Juliana Alves,Médio,Pendente,782715.03,Dobra Legal
2026-08-28,2026-08-16,Agosto,2026,2000109-55.2026.8.26.8892,Forge Engenharia,Empresarial,Juliana Alves,Médio,Pendente,144713.40,Dobra Legal
2026-08-28,2026-08-16,Agosto,2026,2000110-55.2026.8.26.9475,Verde Agro,Cível,Fernanda Lima,Baixo,Concluído,171568.37,Dobra Legal
2026-08-28,2026-06-07,Junho,2026,2000111-55.2026.8.26.5843,Costa Farma,Tributário,Carlos Nogueira,Baixo,Pendente,25830.24,Dobra Legal
2026-08-28,2026-10-25,Outubro,2026,2000112-55.2026.8.26.6622,Verde Agro,Contratos,Fernanda Lima,Médio,Próximo,406913.71,Dobra Legal
2026-08-28,2026-08-31,Agosto,2026,2000113-55.2026.8.26.3785,Sul Minas,Trabalhista,Juliana Alves,Baixo,Pendente,87709.40,Dobra Legal
2026-08-28,2026-10-22,Outubro,2026,2000114-55.2026.8.26.3999,Aurora Moda,Contratos,Mariana Costa,Baixo,Próximo,87814.72,Dobra Legal
2026-08-28,2026-08-18,Agosto,2026,2000115-55.2026.8.26.6428,Pampa Alimentos,Empresarial,Fernanda Lima,Baixo,Concluído,24705.37,Dobra Legal
2026-08-28,2026-10-28,Outubro,2026,2000116-55.2026.8.26.2166,Rio Branco,Trabalhista,Fernanda Lima,Baixo,Pendente,354177.39,Dobra Legal
2026-08-28,2026-09-14,Setembro,2026,2000117-55.2026.8.26.3470,Orbit Educação,Trabalhista,Juliana Alves,Baixo,Concluído,867853.54,Dobra Legal
2026-08-28,2026-09-26,Setembro,2026,2000118-55.2026.8.26.3954,Forge Engenharia,Tributário,Juliana Alves,Médio,Concluído,74029.25,Dobra Legal
2026-08-28,2026-06-15,Junho,2026,2000119-55.2026.8.26.5481,Lumen Tech,Trabalhista,Fernanda Lima,Médio,Concluído,389929.53,Dobra Legal
2026-08-28,2026-06-23,Junho,2026,2000120-55.2026.8.26.8105,Maré Energia,Tributário,Carlos Nogueira,Alto,Concluído,280653.68,Dobra Legal
2026-08-28,2026-10-15,Outubro,2026,2000121-55.2026.8.26.7112,Atlas Ltda,Empresarial,Fernanda Lima,Baixo,Concluído,26266.87,Dobra Legal
2026-08-28,2026-08-03,Agosto,2026,2000122-55.2026.8.26.6641,Delta Log,Trabalhista,Mariana Costa,Baixo,Concluído,691834.53,Dobra Legal
2026-08-28,2026-06-17,Junho,2026,2000123-55.2026.8.26.5885,Delta Log,Tributário,Fernanda Lima,Médio,Próximo,155754.57,Dobra Legal
2026-08-28,2026-07-05,Julho,2026,2000124-55.2026.8.26.9031,Pampa Alimentos,Trabalhista,Rafael Mendes,Alto,Concluído,282677.46,Dobra Legal
2026-08-28,2026-07-28,Julho,2026,2000125-55.2026.8.26.3149,Lumen Tech,Contratos,Mariana Costa,Médio,Pendente,67941.18,Dobra Legal
2026-08-28,2026-06-10,Junho,2026,2000126-55.2026.8.26.5190,Sul Minas,Família,Mariana Costa,Médio,Concluído,26619.70,Dobra Legal
2026-08-28,2026-06-06,Junho,2026,2000127-55.2026.8.26.2897,Maré Energia,Tributário,Carlos Nogueira,Baixo,Concluído,158361.37,Dobra Legal
2026-08-28,2026-07-10,Julho,2026,2000128-55.2026.8.26.1152,Delta Log,Tributário,Mariana Costa,Médio,Concluído,167859.06,Dobra Legal
2026-08-28,2026-07-06,Julho,2026,2000129-55.2026.8.26.2718,Casa Norte,Contratos,Fernanda Lima,Baixo,Concluído,27847.60,Dobra Legal
2026-08-28,2026-10-06,Outubro,2026,2000130-55.2026.8.26.4272,Costa Farma,Família,Rafael Mendes,Baixo,Concluído,321349.17,Dobra Legal
2026-08-28,2026-06-11,Junho,2026,2000131-55.2026.8.26.4402,Rio Branco,Empresarial,Rafael Mendes,Baixo,Pendente,29068.80,Dobra Legal
2026-08-28,2026-10-25,Outubro,2026,2000132-55.2026.8.26.3443,Forge Engenharia,Família,Mariana Costa,Médio,Pendente,29047.79,Dobra Legal
2026-08-28,2026-07-30,Julho,2026,2000133-55.2026.8.26.5850,Costa Farma,Tributário,Mariana Costa,Baixo,Concluído,91972.49,Dobra Legal
2026-08-28,2026-08-14,Agosto,2026,2000134-55.2026.8.26.6123,Maré Energia,Contratos,Mariana Costa,Baixo,Concluído,20096.72,Dobra Legal
2026-08-28,2026-07-06,Julho,2026,2000135-55.2026.8.26.3793,Aurora Moda,Empresarial,Carlos Nogueira,Alto,Pendente,184222.43,Dobra Legal
2026-08-28,2026-06-24,Junho,2026,2000136-55.2026.8.26.6615,Pulse Varejo,Cível,Carlos Nogueira,Baixo,Concluído,318056.63,Dobra Legal
2026-08-28,2026-09-07,Setembro,2026,2000137-55.2026.8.26.8835,Maré Energia,Contratos,Rafael Mendes,Baixo,Pendente,29815.69,Dobra Legal
2026-08-28,2026-07-11,Julho,2026,2000138-55.2026.8.26.8908,Boa Vista,Contratos,Carlos Nogueira,Baixo,Concluído,389083.00,Dobra Legal
2026-08-28,2026-06-08,Junho,2026,2000139-55.2026.8.26.3140,Rio Branco,Tributário,Mariana Costa,Alto,Próximo,286436.13,Dobra Legal
2026-08-28,2026-08-06,Agosto,2026,2000140-55.2026.8.26.1202,Casa Norte,Contratos,Fernanda Lima,Médio,Pendente,95292.66,Dobra Legal
2026-08-28,2026-08-26,Agosto,2026,2000141-55.2026.8.26.2560,Maré Energia,Contratos,Rafael Mendes,Baixo,Pendente,300811.62,Dobra Legal
2026-08-28,2026-10-21,Outubro,2026,2000142-55.2026.8.26.1894,Atlas Ltda,Contratos,Rafael Mendes,Baixo,Próximo,399261.96,Dobra Legal
2026-08-28,2026-07-13,Julho,2026,2000143-55.2026.8.26.9055,Aurora Moda,Trabalhista,Juliana Alves,Alto,Concluído,25069.29,Dobra Legal
2026-08-28,2026-10-19,Outubro,2026,2000144-55.2026.8.26.7607,Verde Agro,Cível,Carlos Nogueira,Baixo,Pendente,734429.58,Dobra Legal
2026-08-28,2026-10-06,Outubro,2026,2000145-55.2026.8.26.2944,Rio Branco,Contratos,Mariana Costa,Baixo,Concluído,285016.47,Dobra Legal
2026-08-28,2026-10-19,Outubro,2026,2000146-55.2026.8.26.2489,Terra Nova,Família,Juliana Alves,Alto,Concluído,662055.37,Dobra Legal
2026-08-28,2026-09-25,Setembro,2026,2000147-55.2026.8.26.6953,Nimbus SA,Trabalhista,Carlos Nogueira,Baixo,Vencido,779985.35,Dobra Legal
2026-08-28,2026-09-02,Setembro,2026,2000148-55.2026.8.26.2868,Helix Saúde,Contratos,Rafael Mendes,Baixo,Pendente,181112.57,Dobra Legal
2026-08-28,2026-08-14,Agosto,2026,2000149-55.2026.8.26.7125,Helix Saúde,Cível,Rafael Mendes,Baixo,Pendente,294974.61,Dobra Legal
2026-08-28,2026-07-21,Julho,2026,2000150-55.2026.8.26.7437,Lumen Tech,Tributário,Rafael Mendes,Médio,Concluído,27571.49,Dobra Legal
2026-08-28,2026-06-12,Junho,2026,2000151-55.2026.8.26.3018,Céu Soft,Tributário,Fernanda Lima,Alto,Vencido,94843.35,Dobra Legal
2026-08-28,2026-06-02,Junho,2026,2000152-55.2026.8.26.1795,Sul Minas,Tributário,Fernanda Lima,Baixo,Pendente,834324.45,Dobra Legal
2026-08-28,2026-07-16,Julho,2026,2000153-55.2026.8.26.3845,Orbit Educação,Cível,Carlos Nogueira,Médio,Pendente,864808.76,Dobra Legal
2026-08-28,2026-10-08,Outubro,2026,2000154-55.2026.8.26.7859,Terra Nova,Contratos,Rafael Mendes,Baixo,Próximo,190111.47,Dobra Legal
2026-08-28,2026-09-24,Setembro,2026,2000155-55.2026.8.26.3263,Maré Energia,Família,Fernanda Lima,Baixo,Próximo,858212.26,Dobra Legal
2026-08-28,2026-10-20,Outubro,2026,2000156-55.2026.8.26.4291,Lumen Tech,Família,Juliana Alves,Médio,Pendente,95402.74,Dobra Legal
2026-08-28,2026-07-16,Julho,2026,2000157-55.2026.8.26.6281,Helix Saúde,Empresarial,Fernanda Lima,Baixo,Pendente,882802.10,Dobra Legal
2026-08-28,2026-09-15,Setembro,2026,2000158-55.2026.8.26.9747,Delta Log,Tributário,Mariana Costa,Médio,Pendente,23808.70,Dobra Legal
2026-08-28,2026-06-14,Junho,2026,2000159-55.2026.8.26.4275,Costa Farma,Trabalhista,Juliana Alves,Médio,Pendente,90860.22,Dobra Legal
2026-08-28,2026-08-15,Agosto,2026,2000160-55.2026.8.26.9866,Nimbus SA,Empresarial,Carlos Nogueira,Baixo,Concluído,859452.45,Dobra Legal
2026-08-28,2026-10-22,Outubro,2026,2000161-55.2026.8.26.9370,Delta Log,Contratos,Mariana Costa,Alto,Concluído,338319.27,Dobra Legal
2026-08-28,2026-08-20,Agosto,2026,2000162-55.2026.8.26.1881,Atlas Ltda,Contratos,Juliana Alves,Baixo,Vencido,396197.69,Dobra Legal
2026-08-28,2026-09-03,Setembro,2026,2000163-55.2026.8.26.9955,Terra Nova,Trabalhista,Rafael Mendes,Baixo,Próximo,95470.51,Dobra Legal
2026-08-28,2026-06-20,Junho,2026,2000164-55.2026.8.26.3847,Casa Norte,Cível,Carlos Nogueira,Baixo,Concluído,163622.31,Dobra Legal
2026-08-28,2026-07-04,Julho,2026,2000165-55.2026.8.26.5178,Atlas Ltda,Empresarial,Carlos Nogueira,Médio,Concluído,65278.10,Dobra Legal
2026-08-28,2026-08-22,Agosto,2026,2000166-55.2026.8.26.5934,Rio Branco,Família,Fernanda Lima,Baixo,Pendente,161625.28,Dobra Legal
2026-08-28,2026-07-18,Julho,2026,2000167-55.2026.8.26.9276,Pulse Varejo,Tributário,Fernanda Lima,Médio,Pendente,23494.03,Dobra Legal
2026-08-28,2026-07-25,Julho,2026,2000168-55.2026.8.26.6424,Pampa Alimentos,Empresarial,Rafael Mendes,Alto,Pendente,759149.67,Dobra Legal
2026-08-28,2026-10-22,Outubro,2026,2000169-55.2026.8.26.1144,Helix Saúde,Contratos,Juliana Alves,Baixo,Próximo,875582.19,Dobra Legal
