data,mes,ano,categoria,linha,natureza,valor,empresa
2026-01-01,Janeiro,2026,Custos fixos,Folha,Despesa,5186.98,Redorai RJ
2026-01-01,Janeiro,2026,Custos fixos,Aluguel,Despesa,1284.01,Redorai RJ
2026-01-01,Janeiro,2026,Custos fixos,SaaS e ferramentas,Despesa,513.91,Redorai RJ
2026-01-01,Janeiro,2026,Custos fixos,Marketing,Despesa,1018.95,Redorai RJ
2026-01-01,Janeiro,2026,Custos fixos,Informática e publicidade,Despesa,252.40,Redorai RJ
2026-02-01,Fevereiro,2026,Receita,Receita bruta vendas,Receita,40876.39,Redorai
2026-02-01,Fevereiro,2026,Receita,Receita serviços,Receita,18021.50,Redorai
2026-02-01,Fevereiro,2026,Receita,Outras receitas,Receita,2683.13,Redorai
2026-02-01,Fevereiro,2026,Custos variáveis,Custo do produto,Despesa,13856.54,Redorai
2026-02-01,Fevereiro,2026,Custos variáveis,Comissões,Despesa,4077.86,Redorai
2026-02-01,Fevereiro,2026,Custos variáveis,Impostos sobre vendas,Despesa,5893.43,Redorai
2026-02-01,Fevereiro,2026,Custos fixos,Folha,Despesa,23579.22,Redorai
2026-02-01,Fevereiro,2026,Custos fixos,Aluguel,Despesa,5036.00,Redorai
2026-02-01,Fevereiro,2026,Custos fixos,SaaS e ferramentas,Despesa,2353.86,Redorai
2026-02-01,Fevereiro,2026,Custos fixos,Marketing,Despesa,4054.12,Redorai
2026-02-01,Fevereiro,2026,Custos fixos,Informática e publicidade,Despesa,885.85,Redorai
2026-02-01,Fevereiro,2026,Receita,Receita bruta vendas,Receita,18476.77,Redorai SP
2026-02-01,Fevereiro,2026,Receita,Receita serviços,Receita,8371.12,Redorai SP
2026-02-01,Fevereiro,2026,Receita,Outras receitas,Receita,1161.25,Redorai SP
2026-02-01,Fevereiro,2026,Custos variáveis,Custo do produto,Despesa,6161.47,Redorai SP
2026-02-01,Fevereiro,2026,Custos variáveis,Comissões,Despesa,1954.71,Redorai SP
2026-02-01,Fevereiro,2026,Custos variáveis,Impostos sobre vendas,Despesa,2346.15,Redorai SP
2026-02-01,Fevereiro,2026,Custos fixos,Folha,Despesa,10780.86,Redorai SP
2026-02-01,Fevereiro,2026,Custos fixos,Aluguel,Despesa,1941.66,Redorai SP
2026-02-01,Fevereiro,2026,Custos fixos,SaaS e ferramentas,Despesa,911.16,Redorai SP
2026-02-01,Fevereiro,2026,Custos fixos,Marketing,Despesa,1539.98,Redorai SP
2026-02-01,Fevereiro,2026,Custos fixos,Informática e publicidade,Despesa,430.39,Redorai SP
2026-02-01,Fevereiro,2026,Receita,Receita bruta vendas,Receita,11794.99,Redorai RJ
2026-02-01,Fevereiro,2026,Receita,Receita serviços,Receita,5005.74,Redorai RJ
2026-02-01,Fevereiro,2026,Receita,Outras receitas,Receita,725.49,Redorai RJ
2026-02-01,Fevereiro,2026,Custos variáveis,Custo do produto,Despesa,3631.22,Redorai RJ
2026-02-01,Fevereiro,2026,Custos variáveis,Comissões,Despesa,1054.76,Redorai RJ
2026-02-01,Fevereiro,2026,Custos variáveis,Impostos sobre vendas,Despesa,1272.36,Redorai RJ
2026-02-01,Fevereiro,2026,Custos fixos,Folha,Despesa,6340.17,Redorai RJ
2026-02-01,Fevereiro,2026,Custos fixos,Aluguel,Despesa,1250.85,Redorai RJ
2026-02-01,Fevereiro,2026,Custos fixos,SaaS e ferramentas,Despesa,597.73,Redorai RJ
2026-02-01,Fevereiro,2026,Custos fixos,Marketing,Despesa,960.32,Redorai RJ
2026-02-01,Fevereiro,2026,Custos fixos,Informática e publicidade,Despesa,214.23,Redorai RJ
2026-03-01,Março,2026,Receita,Receita bruta vendas,Receita,48076.49,Redorai
2026-03-01,Março,2026,Receita,Receita serviços,Receita,20105.83,Redorai
2026-03-01,Março,2026,Receita,Outras receitas,Receita,2848.85,Redorai
2026-03-01,Março,2026,Custos variáveis,Custo do produto,Despesa,16380.40,Redorai
2026-03-01,Março,2026,Custos variáveis,Comissões,Despesa,4838.05,Redorai
2026-03-01,Março,2026,Custos variáveis,Impostos sobre vendas,Despesa,5063.20,Redorai
2026-03-01,Março,2026,Custos fixos,Folha,Despesa,23479.53,Redorai
2026-03-01,Março,2026,Custos fixos,Aluguel,Despesa,4818.46,Redorai
2026-03-01,Março,2026,Custos fixos,SaaS e ferramentas,Despesa,2199.80,Redorai
2026-03-01,Março,2026,Custos fixos,Marketing,Despesa,3483.63,Redorai
2026-03-01,Março,2026,Custos fixos,Informática e publicidade,Despesa,938.14,Redorai
2026-03-01,Março,2026,Receita,Receita bruta vendas,Receita,21589.63,Redorai SP
2026-03-01,Março,2026,Receita,Receita serviços,Receita,8263.45,Redorai SP
2026-03-01,Março,2026,Receita,Outras receitas,Receita,1246.70,Redorai SP
2026-03-01,Março,2026,Custos variáveis,Custo do produto,Despesa,6233.43,Redorai SP
2026-03-01,Março,2026,Custos variáveis,Comissões,Despesa,1856.87,Redorai SP
2026-03-01,Março,2026,Custos variáveis,Impostos sobre vendas,Despesa,2521.66,Redorai SP
2026-03-01,Março,2026,Custos fixos,Folha,Despesa,10959.86,Redorai SP
2026-03-01,Março,2026,Custos fixos,Aluguel,Despesa,2184.55,Redorai SP
2026-03-01,Março,2026,Custos fixos,SaaS e ferramentas,Despesa,989.19,Redorai SP
2026-03-01,Março,2026,Custos fixos,Marketing,Despesa,1497.03,Redorai SP
2026-03-01,Março,2026,Custos fixos,Informática e publicidade,Despesa,386.77,Redorai SP
2026-03-01,Março,2026,Receita,Receita bruta vendas,Receita,13400.44,Redorai RJ
2026-03-01,Março,2026,Receita,Receita serviços,Receita,5410.08,Redorai RJ
2026-03-01,Março,2026,Receita,Outras receitas,Receita,747.01,Redorai RJ
2026-03-01,Março,2026,Custos variáveis,Custo do produto,Despesa,3949.50,Redorai RJ
2026-03-01,Março,2026,Custos variáveis,Comissões,Despesa,1015.70,Redorai RJ
2026-03-01,Março,2026,Custos variáveis,Impostos sobre vendas,Despesa,1390.04,Redorai RJ
2026-03-01,Março,2026,Custos fixos,Folha,Despesa,5891.96,Redorai RJ
2026-03-01,Março,2026,Custos fixos,Aluguel,Despesa,1383.43,Redorai RJ
2026-03-01,Março,2026,Custos fixos,SaaS e ferramentas,Despesa,520.12,Redorai RJ
2026-03-01,Março,2026,Custos fixos,Marketing,Despesa,1060.25,Redorai RJ
2026-03-01,Março,2026,Custos fixos,Informática e publicidade,Despesa,218.85,Redorai RJ
2026-04-01,Abril,2026,Receita,Receita bruta vendas,Receita,42880.40,Redorai
2026-04-01,Abril,2026,Receita,Receita serviços,Receita,19644.23,Redorai
2026-04-01,Abril,2026,Receita,Outras receitas,Receita,2762.84,Redorai
2026-04-01,Abril,2026,Custos variáveis,Custo do produto,Despesa,14323.76,Redorai
2026-04-01,Abril,2026,Custos variáveis,Comissões,Despesa,4182.58,Redorai
2026-04-01,Abril,2026,Custos variáveis,Impostos sobre vendas,Despesa,6008.07,Redorai
2026-04-01,Abril,2026,Custos fixos,Folha,Despesa,22566.06,Redorai
2026-04-01,Abril,2026,Custos fixos,Aluguel,Despesa,5318.90,Redorai
2026-04-01,Abril,2026,Custos fixos,SaaS e ferramentas,Despesa,2339.37,Redorai
2026-04-01,Abril,2026,Custos fixos,Marketing,Despesa,3839.93,Redorai
2026-04-01,Abril,2026,Custos fixos,Informática e publicidade,Despesa,994.98,Redorai
2026-04-01,Abril,2026,Receita,Receita bruta vendas,Receita,20391.56,Redorai SP
2026-04-01,Abril,2026,Receita,Receita serviços,Receita,9313.13,Redorai SP
2026-04-01,Abril,2026,Receita,Outras receitas,Receita,1152.15,Redorai SP
2026-04-01,Abril,2026,Custos variáveis,Custo do produto,Despesa,6684.85,Redorai SP
2026-04-01,Abril,2026,Custos variáveis,Comissões,Despesa,1806.25,Redorai SP
2026-04-01,Abril,2026,Custos variáveis,Impostos sobre vendas,Despesa,2272.88,Redorai SP
2026-04-01,Abril,2026,Custos fixos,Folha,Despesa,10407.52,Redorai SP
2026-04-01,Abril,2026,Custos fixos,Aluguel,Despesa,2093.51,Redorai SP
2026-04-01,Abril,2026,Custos fixos,SaaS e ferramentas,Despesa,919.29,Redorai SP
2026-04-01,Abril,2026,Custos fixos,Marketing,Despesa,1731.72,Redorai SP
2026-04-01,Abril,2026,Custos fixos,Informática e publicidade,Despesa,372.20,Redorai SP
2026-04-01,Abril,2026,Receita,Receita bruta vendas,Receita,12557.62,Redorai RJ
2026-04-01,Abril,2026,Receita,Receita serviços,Receita,5850.10,Redorai RJ
2026-04-01,Abril,2026,Receita,Outras receitas,Receita,812.23,Redorai RJ
2026-04-01,Abril,2026,Custos variáveis,Custo do produto,Despesa,3446.89,Redorai RJ
2026-04-01,Abril,2026,Custos variáveis,Comissões,Despesa,1068.81,Redorai RJ
2026-04-01,Abril,2026,Custos variáveis,Impostos sobre vendas,Despesa,1313.53,Redorai RJ
2026-04-01,Abril,2026,Custos fixos,Folha,Despesa,6535.19,Redorai RJ
2026-04-01,Abril,2026,Custos fixos,Aluguel,Despesa,1410.99,Redorai RJ
2026-04-01,Abril,2026,Custos fixos,SaaS e ferramentas,Despesa,617.11,Redorai RJ
2026-04-01,Abril,2026,Custos fixos,Marketing,Despesa,949.40,Redorai RJ
2026-04-01,Abril,2026,Custos fixos,Informática e publicidade,Despesa,226.08,Redorai RJ
2026-05-01,Maio,2026,Receita,Receita bruta vendas,Receita,48224.62,Redorai
2026-05-01,Maio,2026,Receita,Receita serviços,Receita,20258.95,Redorai
2026-05-01,Maio,2026,Receita,Outras receitas,Receita,2773.69,Redorai
2026-05-01,Maio,2026,Custos variáveis,Custo do produto,Despesa,17048.34,Redorai
2026-05-01,Maio,2026,Custos variáveis,Comissões,Despesa,4778.86,Redorai
2026-05-01,Maio,2026,Custos variáveis,Impostos sobre vendas,Despesa,5012.67,Redorai
2026-05-01,Maio,2026,Custos fixos,Folha,Despesa,25892.71,Redorai
2026-05-01,Maio,2026,Custos fixos,Aluguel,Despesa,5053.40,Redorai
2026-05-01,Maio,2026,Custos fixos,SaaS e ferramentas,Despesa,2394.17,Redorai
2026-05-01,Maio,2026,Custos fixos,Marketing,Despesa,4342.16,Redorai
2026-05-01,Maio,2026,Custos fixos,Informática e publicidade,Despesa,911.88,Redorai
2026-05-01,Maio,2026,Receita,Receita bruta vendas,Receita,19333.39,Redorai SP
2026-05-01,Maio,2026,Receita,Receita serviços,Receita,8273.88,Redorai SP
2026-05-01,Maio,2026,Receita,Outras receitas,Receita,1236.69,Redorai SP
2026-05-01,Maio,2026,Custos variáveis,Custo do produto,Despesa,6152.30,Redorai SP
2026-05-01,Maio,2026,Custos variáveis,Comissões,Despesa,1986.33,Redorai SP
2026-05-01,Maio,2026,Custos variáveis,Impostos sobre vendas,Despesa,2469.90,Redorai SP
2026-05-01,Maio,2026,Custos fixos,Folha,Despesa,9515.56,Redorai SP
2026-05-01,Maio,2026,Custos fixos,Aluguel,Despesa,2284.31,Redorai SP
2026-05-01,Maio,2026,Custos fixos,SaaS e ferramentas,Despesa,921.08,Redorai SP
2026-05-01,Maio,2026,Custos fixos,Marketing,Despesa,1660.40,Redorai SP
2026-05-01,Maio,2026,Custos fixos,Informática e publicidade,Despesa,452.88,Redorai SP
2026-05-01,Maio,2026,Receita,Receita bruta vendas,Receita,13528.24,Redorai RJ
2026-05-01,Maio,2026,Receita,Receita serviços,Receita,5135.24,Redorai RJ
2026-05-01,Maio,2026,Receita,Outras receitas,Receita,753.67,Redorai RJ
2026-05-01,Maio,2026,Custos variáveis,Custo do produto,Despesa,3665.72,Redorai RJ
2026-05-01,Maio,2026,Custos variáveis,Comissões,Despesa,1030.94,Redorai RJ
2026-05-01,Maio,2026,Custos variáveis,Impostos sobre vendas,Despesa,1486.54,Redorai RJ
2026-05-01,Maio,2026,Custos fixos,Folha,Despesa,6235.79,Redorai RJ
2026-05-01,Maio,2026,Custos fixos,Aluguel,Despesa,1252.58,Redorai RJ
2026-05-01,Maio,2026,Custos fixos,SaaS e ferramentas,Despesa,608.34,Redorai RJ
2026-05-01,Maio,2026,Custos fixos,Marketing,Despesa,1001.96,Redorai RJ
2026-05-01,Maio,2026,Custos fixos,Informática e publicidade,Despesa,243.80,Redorai RJ
2026-06-01,Junho,2026,Receita,Receita bruta vendas,Receita,42769.00,Redorai
2026-06-01,Junho,2026,Receita,Receita serviços,Receita,18538.26,Redorai
2026-06-01,Junho,2026,Receita,Outras receitas,Receita,2931.83,Redorai
2026-06-01,Junho,2026,Custos variáveis,Custo do produto,Despesa,16999.43,Redorai
2026-06-01,Junho,2026,Custos variáveis,Comissões,Despesa,4733.96,Redorai
2026-06-01,Junho,2026,Custos variáveis,Impostos sobre vendas,Despesa,6106.69,Redorai
2026-06-01,Junho,2026,Custos fixos,Folha,Despesa,24994.38,Redorai
2026-06-01,Junho,2026,Custos fixos,Aluguel,Despesa,4946.41,Redorai
2026-06-01,Junho,2026,Custos fixos,SaaS e ferramentas,Despesa,2153.51,Redorai
2026-06-01,Junho,2026,Custos fixos,Marketing,Despesa,3849.98,Redorai
2026-06-01,Junho,2026,Custos fixos,Informática e publicidade,Despesa,1091.74,Redorai
2026-06-01,Junho,2026,Receita,Receita bruta vendas,Receita,21874.00,Redorai SP
