data,mes,ano,cliente,status,valor,customer_count,empresa
2026-03-20,Março,2026,Rio Branco,Atraso 31-60,9883.57,1,Redorai RJ
2026-06-10,Junho,2026,Casa Norte,Em dia,1389.16,1,Redorai
2026-02-14,Fevereiro,2026,Casa Norte,Em dia,7454.04,1,Redorai SP
2026-06-26,Junho,2026,Casa Norte,Em dia,9211.11,1,Redorai SP
2026-01-19,Janeiro,2026,Sul Minas,Atraso 1-30,11367.23,1,Redorai RJ
2026-05-31,Maio,2026,Sul Minas,Atraso 1-30,14904.22,1,Redorai
2026-05-20,Maio,2026,Sul Minas,Atraso 1-30,1674.49,1,Redorai
2026-01-19,Janeiro,2026,Sul Minas,Atraso 1-30,785.84,1,Redorai RJ
2026-07-31,Julho,2026,Sul Minas,Atraso 1-30,11219.31,1,Redorai SP
2026-03-11,Março,2026,Boa Vista,Atraso 1-30,9522.92,1,Redorai RJ
2026-01-11,Janeiro,2026,Boa Vista,Atraso 1-30,5719.61,1,Redorai
2026-01-24,Janeiro,2026,Boa Vista,Atraso 1-30,1908.62,1,Redorai RJ
2026-05-31,Maio,2026,Boa Vista,Atraso 1-30,1156.81,1,Redorai SP
2026-05-28,Maio,2026,Boa Vista,Atraso 1-30,1051.58,1,Redorai RJ
2026-02-16,Fevereiro,2026,Terra Nova,Atraso 1-30,9059.69,1,Redorai
2026-05-01,Maio,2026,Terra Nova,Atraso 1-30,2902.06,1,Redorai
2026-08-08,Agosto,2026,Terra Nova,Atraso 1-30,1437.70,1,Redorai SP
2026-06-19,Junho,2026,Terra Nova,Atraso 1-30,5913.24,1,Redorai SP
